Apr. 22, 2023   20:39:37
Amperometric i-t Curve
File: c:\users\user\desktop\20230422\20230422_mcdi_run1_12v_10min_charge.txt
Data Source:  Experiment
Instrument Model:  CHI6273E
4-electrode
Header: 
Note: 

Init E (V) = 1.2
Sample Interval (s) = 1
Run Time (sec) = 600
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.1


Time/sec, Current/A

1.000e+0, -3.270e-1
2.000e+0, -2.902e-1
3.000e+0, -2.593e-1
4.000e+0, -2.331e-1
5.000e+0, -1.989e-1
6.000e+0, -1.931e-1
7.000e+0, -1.851e-1
8.000e+0, -1.748e-1
9.000e+0, -1.569e-1
1.000e+1, -1.462e-1
1.100e+1, -1.491e-1
1.200e+1, -1.444e-1
1.300e+1, -1.358e-1
1.400e+1, -1.201e-1
1.500e+1, -1.275e-1
1.600e+1, -1.258e-1
1.700e+1, -1.228e-1
1.800e+1, -1.098e-1
1.900e+1, -1.125e-1
2.000e+1, -1.145e-1
2.100e+1, -1.137e-1
2.200e+1, -1.073e-1
2.300e+1, -1.020e-1
2.400e+1, -1.080e-1
2.500e+1, -1.084e-1
2.600e+1, -1.065e-1
2.700e+1, -9.697e-2
2.800e+1, -1.037e-1
2.900e+1, -1.053e-1
3.000e+1, -1.055e-1
3.100e+1, -9.781e-2
3.200e+1, -9.943e-2
3.300e+1, -1.031e-1
3.400e+1, -1.037e-1
3.500e+1, -1.003e-1
3.600e+1, -9.540e-2
3.700e+1, -1.011e-1
3.800e+1, -1.021e-1
3.900e+1, -1.015e-1
4.000e+1, -9.361e-2
4.100e+1, -9.857e-2
4.200e+1, -1.005e-1
4.300e+1, -1.010e-1
4.400e+1, -9.523e-2
4.500e+1, -9.528e-2
4.600e+1, -9.881e-2
4.700e+1, -9.943e-2
4.800e+1, -9.721e-2
4.900e+1, -9.228e-2
5.000e+1, -9.705e-2
5.100e+1, -9.794e-2
5.200e+1, -9.775e-2
5.300e+1, -9.121e-2
5.400e+1, -9.450e-2
5.500e+1, -9.640e-2
5.600e+1, -9.694e-2
5.700e+1, -9.260e-2
5.800e+1, -9.155e-2
5.900e+1, -9.481e-2
6.000e+1, -9.534e-2
6.100e+1, -9.390e-2
6.200e+1, -8.914e-2
6.300e+1, -9.302e-2
6.400e+1, -9.386e-2
6.500e+1, -9.392e-2
6.600e+1, -8.849e-2
6.700e+1, -9.047e-2
6.800e+1, -9.237e-2
6.900e+1, -9.287e-2
7.000e+1, -8.960e-2
7.100e+1, -8.785e-2
7.200e+1, -9.080e-2
7.300e+1, -9.127e-2
7.400e+1, -9.037e-2
7.500e+1, -8.592e-2
7.600e+1, -8.904e-2
7.700e+1, -8.982e-2
7.800e+1, -9.006e-2
7.900e+1, -8.557e-2
8.000e+1, -8.653e-2
8.100e+1, -8.840e-2
8.200e+1, -8.887e-2
8.300e+1, -8.644e-2
8.400e+1, -8.421e-2
8.500e+1, -8.689e-2
8.600e+1, -8.732e-2
8.700e+1, -8.680e-2
8.800e+1, -8.268e-2
8.900e+1, -8.509e-2
9.000e+1, -8.588e-2
9.100e+1, -8.621e-2
9.200e+1, -8.256e-2
9.300e+1, -8.265e-2
9.400e+1, -8.447e-2
9.500e+1, -8.491e-2
9.600e+1, -8.316e-2
9.700e+1, -8.063e-2
9.800e+1, -8.294e-2
9.900e+1, -8.335e-2
1.000e+2, -8.311e-2
1.010e+2, -7.947e-2
1.020e+2, -8.114e-2
1.030e+2, -8.191e-2
1.040e+2, -8.229e-2
1.050e+2, -7.943e-2
1.060e+2, -7.879e-2
1.070e+2, -8.050e-2
1.080e+2, -8.089e-2
1.090e+2, -7.970e-2
1.100e+2, -7.706e-2
1.110e+2, -7.894e-2
1.120e+2, -7.933e-2
1.130e+2, -7.925e-2
1.140e+2, -7.617e-2
1.150e+2, -7.710e-2
1.160e+2, -7.784e-2
1.170e+2, -7.820e-2
1.180e+2, -7.605e-2
1.190e+2, -7.490e-2
1.200e+2, -7.638e-2
1.210e+2, -7.670e-2
1.220e+2, -7.594e-2
1.230e+2, -7.342e-2
1.240e+2, -7.476e-2
1.250e+2, -7.511e-2
1.260e+2, -7.512e-2
1.270e+2, -7.264e-2
1.280e+2, -7.291e-2
