Apr. 22, 2023   20:49:41
Amperometric i-t Curve
File: c:\users\user\desktop\20230422\20230422_mcdi_run1_12v_10min_discharge.txt
Data Source:  Experiment
Instrument Model:  CHI6273E
4-electrode
Header: 
Note: 

Init E (V) = 0
Sample Interval (s) = 1
Run Time (sec) = 600
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.1


Time/sec, Current/A

1.000e+0, 2.158e-1
2.000e+0, 2.147e-1
3.000e+0, 2.136e-1
4.000e+0, 2.186e-1
5.000e+0, 2.921e-1
6.000e+0, 3.912e-1
7.000e+0, 4.020e-1
8.000e+0, 3.908e-1
9.000e+0, 3.803e-1
1.000e+1, 3.712e-1
1.100e+1, 3.628e-1
1.200e+1, 3.526e-1
1.300e+1, 3.436e-1
1.400e+1, 3.358e-1
1.500e+1, 3.287e-1
1.600e+1, 3.220e-1
1.700e+1, 3.151e-1
1.800e+1, 3.083e-1
1.900e+1, 3.017e-1
2.000e+1, 2.958e-1
2.100e+1, 2.895e-1
2.200e+1, 2.833e-1
2.300e+1, 2.772e-1
2.400e+1, 2.717e-1
2.500e+1, 2.662e-1
2.600e+1, 2.605e-1
2.700e+1, 2.550e-1
2.800e+1, 2.497e-1
2.900e+1, 2.450e-1
3.000e+1, 2.398e-1
3.100e+1, 2.348e-1
3.200e+1, 2.299e-1
3.300e+1, 2.256e-1
3.400e+1, 2.210e-1
3.500e+1, 2.164e-1
3.600e+1, 2.119e-1
3.700e+1, 2.079e-1
3.800e+1, 2.039e-1
3.900e+1, 1.997e-1
4.000e+1, 1.956e-1
4.100e+1, 1.917e-1
4.200e+1, 1.882e-1
4.300e+1, 1.844e-1
4.400e+1, 1.807e-1
4.500e+1, 1.771e-1
4.600e+1, 1.739e-1
4.700e+1, 1.704e-1
4.800e+1, 1.670e-1
4.900e+1, 1.636e-1
5.000e+1, 1.606e-1
5.100e+1, 1.576e-1
5.200e+1, 1.544e-1
5.300e+1, 1.514e-1
5.400e+1, 1.484e-1
5.500e+1, 1.458e-1
5.600e+1, 1.429e-1
5.700e+1, 1.401e-1
5.800e+1, 1.374e-1
5.900e+1, 1.349e-1
6.000e+1, 1.322e-1
6.100e+1, 1.297e-1
6.200e+1, 1.271e-1
6.300e+1, 1.248e-1
6.400e+1, 1.225e-1
6.500e+1, 1.201e-1
6.600e+1, 1.178e-1
6.700e+1, 1.156e-1
6.800e+1, 1.135e-1
6.900e+1, 1.113e-1
7.000e+1, 1.091e-1
7.100e+1, 1.071e-1
7.200e+1, 1.052e-1
7.300e+1, 1.031e-1
7.400e+1, 1.012e-1
7.500e+1, 9.925e-2
7.600e+1, 9.744e-2
7.700e+1, 9.564e-2
7.800e+1, 9.379e-2
7.900e+1, 9.202e-2
8.000e+1, 9.031e-2
8.100e+1, 8.870e-2
8.200e+1, 8.696e-2
8.300e+1, 8.535e-2
8.400e+1, 8.375e-2
8.500e+1, 8.225e-2
8.600e+1, 8.067e-2
8.700e+1, 7.916e-2
8.800e+1, 7.768e-2
8.900e+1, 7.627e-2
9.000e+1, 7.487e-2
9.100e+1, 7.344e-2
9.200e+1, 7.209e-2
9.300e+1, 7.075e-2
9.400e+1, 6.949e-2
9.500e+1, 6.814e-2
9.600e+1, 6.689e-2
9.700e+1, 6.566e-2
9.800e+1, 6.449e-2
9.900e+1, 6.325e-2
1.000e+2, 6.208e-2
1.010e+2, 6.094e-2
1.020e+2, 5.984e-2
1.030e+2, 5.874e-2
1.040e+2, 5.762e-2
1.050e+2, 5.658e-2
1.060e+2, 5.554e-2
1.070e+2, 5.455e-2
1.080e+2, 5.349e-2
1.090e+2, 5.252e-2
1.100e+2, 5.156e-2
1.110e+2, 5.064e-2
1.120e+2, 4.967e-2
1.130e+2, 4.876e-2
1.140e+2, 4.787e-2
1.150e+2, 4.701e-2
1.160e+2, 4.614e-2
1.170e+2, 4.526e-2
1.180e+2, 4.445e-2
1.190e+2, 4.365e-2
1.200e+2, 4.287e-2
1.210e+2, 4.203e-2
1.220e+2, 4.128e-2
1.230e+2, 4.053e-2
1.240e+2, 3.981e-2
1.250e+2, 3.904e-2
1.260e+2, 3.832e-2
1.270e+2, 3.764e-2
1.280e+2, 3.696e-2
1.290e+2, 3.628e-2
1.300e+2, 3.558e-2
1.310e+2, 3.495e-2
1.320e+2, 3.433e-2
1.330e+2, 3.371e-2
1.340e+2, 3.305e-2
1.350e+2, 3.246e-2
1.360e+2, 3.188e-2
1.370e+2, 3.131e-2
1.380e+2, 3.071e-2
1.390e+2, 3.014e-2
1.400e+2, 2.961e-2
1.410e+2, 2.909e-2
1.420e+2, 2.855e-2
1.430e+2, 2.800e-2
1.440e+2, 2.751e-2
1.450e+2, 2.702e-2
1.460e+2, 2.654e-2
1.470e+2, 2.602e-2
1.480e+2, 2.556e-2
1.490e+2, 2.511e-2
1.500e+2, 2.466e-2
1.510e+2, 2.419e-2
1.520e+2, 2.374e-2
1.530e+2, 2.332e-2
1.540e+2, 2.291e-2
1.550e+2, 2.249e-2
1.560e+2, 2.205e-2
1.570e+2, 2.167e-2
1.580e+2, 2.129e-2
1.590e+2, 2.091e-2
1.600e+2, 2.050e-2
1.610e+2, 2.014e-2
1.620e+2, 1.978e-2
1.630e+2, 1.943e-2
1.640e+2, 1.906e-2
1.650e+2, 1.872e-2
1.660e+2, 1.839e-2
1.670e+2, 1.807e-2
1.680e+2, 1.774e-2
1.690e+2, 1.740e-2
1.700e+2, 1.710e-2
1.710e+2, 1.680e-2
1.720e+2, 1.651e-2
1.730e+2, 1.618e-2
1.740e+2, 1.589e-2
1.750e+2, 1.562e-2
1.760e+2, 1.534e-2
1.770e+2, 1.506e-2
1.780e+2, 1.478e-2
1.790e+2, 1.452e-2
1.800e+2, 1.428e-2
1.810e+2, 1.402e-2
1.820e+2, 1.375e-2
1.830e+2, 1.352e-2
1.840e+2, 1.329e-2
1.850e+2, 1.306e-2
1.860e+2, 1.281e-2
1.870e+2, 1.258e-2
1.880e+2, 1.237e-2
1.890e+2, 1.216e-2
1.900e+2, 1.194e-2
1.910e+2, 1.173e-2
1.920e+2, 1.153e-2
1.930e+2, 1.134e-2
1.940e+2, 1.114e-2
1.950e+2, 1.092e-2
1.960e+2, 1.074e-2
1.970e+2, 1.056e-2
1.980e+2, 1.038e-2
1.990e+2, 1.019e-2
2.000e+2, 1.002e-2
2.010e+2, 9.853e-3
2.020e+2, 9.691e-3
2.030e+2, 9.518e-3
2.040e+2, 9.346e-3
2.050e+2, 9.195e-3
2.060e+2, 9.045e-3
2.070e+2, 8.893e-3
2.080e+2, 8.727e-3
2.090e+2, 8.588e-3
2.100e+2, 8.448e-3
2.110e+2, 8.308e-3
2.120e+2, 8.150e-3
2.130e+2, 8.015e-3
2.140e+2, 7.888e-3
2.150e+2, 7.762e-3
2.160e+2, 7.629e-3
2.170e+2, 7.497e-3
2.180e+2, 7.382e-3
2.190e+2, 7.266e-3
2.200e+2, 7.148e-3
2.210e+2, 7.020e-3
2.220e+2, 6.911e-3
2.230e+2, 6.806e-3
2.240e+2, 6.701e-3
2.250e+2, 6.584e-3
2.260e+2, 6.481e-3
2.270e+2, 6.382e-3
2.280e+2, 6.287e-3
2.290e+2, 6.187e-3
2.300e+2, 6.082e-3
2.310e+2, 5.994e-3
2.320e+2, 5.905e-3
2.330e+2, 5.815e-3
2.340e+2, 5.714e-3
2.350e+2, 5.630e-3
2.360e+2, 5.549e-3
2.370e+2, 5.469e-3
2.380e+2, 5.380e-3
2.390e+2, 5.298e-3
2.400e+2, 5.222e-3
2.410e+2, 5.149e-3
2.420e+2, 5.071e-3
2.430e+2, 4.990e-3
2.440e+2, 4.923e-3
2.450e+2, 4.856e-3
2.460e+2, 4.788e-3
2.470e+2, 4.710e-3
2.480e+2, 4.646e-3
2.490e+2, 4.585e-3
2.500e+2, 4.523e-3
2.510e+2, 4.454e-3
2.520e+2, 4.391e-3
2.530e+2, 4.334e-3
2.540e+2, 4.277e-3
2.550e+2, 4.215e-3
2.560e+2, 4.153e-3
2.570e+2, 4.102e-3
2.580e+2, 4.052e-3
2.590e+2, 3.999e-3
2.600e+2, 3.938e-3
2.610e+2, 3.889e-3
2.620e+2, 3.842e-3
2.630e+2, 3.795e-3
2.640e+2, 3.742e-3
2.650e+2, 3.692e-3
2.660e+2, 3.648e-3
2.670e+2, 3.605e-3
2.680e+2, 3.560e-3
2.690e+2, 3.510e-3
2.700e+2, 3.471e-3
2.710e+2, 3.430e-3
2.720e+2, 3.390e-3
2.730e+2, 3.341e-3
2.740e+2, 3.302e-3
2.750e+2, 3.265e-3
2.760e+2, 3.230e-3
2.770e+2, 3.189e-3
2.780e+2, 3.150e-3
2.790e+2, 3.118e-3
2.800e+2, 3.084e-3
2.810e+2, 3.050e-3
2.820e+2, 3.011e-3
2.830e+2, 2.981e-3
2.840e+2, 2.951e-3
2.850e+2, 2.920e-3
2.860e+2, 2.885e-3
2.870e+2, 2.855e-3
2.880e+2, 2.826e-3
2.890e+2, 2.797e-3
2.900e+2, 2.764e-3
2.910e+2, 2.733e-3
2.920e+2, 2.708e-3
2.930e+2, 2.682e-3
2.940e+2, 2.656e-3
2.950e+2, 2.624e-3
2.960e+2, 2.600e-3
2.970e+2, 2.576e-3
2.980e+2, 2.551e-3
2.990e+2, 2.522e-3
3.000e+2, 2.497e-3
3.010e+2, 2.477e-3
3.020e+2, 2.457e-3
3.030e+2, 2.431e-3
3.040e+2, 2.406e-3
3.050e+2, 2.387e-3
3.060e+2, 2.368e-3
3.070e+2, 2.346e-3
3.080e+2, 2.320e-3
3.090e+2, 2.302e-3
3.100e+2, 2.284e-3
3.110e+2, 2.265e-3
3.120e+2, 2.243e-3
3.130e+2, 2.224e-3
3.140e+2, 2.206e-3
3.150e+2, 2.189e-3
3.160e+2, 2.170e-3
3.170e+2, 2.149e-3
3.180e+2, 2.134e-3
3.190e+2, 2.117e-3
3.200e+2, 2.101e-3
3.210e+2, 2.081e-3
3.220e+2, 2.065e-3
3.230e+2, 2.052e-3
3.240e+2, 2.037e-3
3.250e+2, 2.018e-3
3.260e+2, 2.002e-3
3.270e+2, 1.989e-3
3.280e+2, 1.976e-3
3.290e+2, 1.960e-3
3.300e+2, 1.942e-3
3.310e+2, 1.930e-3
3.320e+2, 1.918e-3
3.330e+2, 1.905e-3
3.340e+2, 1.887e-3
3.350e+2, 1.875e-3
3.360e+2, 1.865e-3
3.370e+2, 1.853e-3
3.380e+2, 1.838e-3
3.390e+2, 1.824e-3
3.400e+2, 1.815e-3
3.410e+2, 1.803e-3
3.420e+2, 1.791e-3
3.430e+2, 1.777e-3
3.440e+2, 1.767e-3
3.450e+2, 1.757e-3
3.460e+2, 1.746e-3
3.470e+2, 1.732e-3
3.480e+2, 1.722e-3
3.490e+2, 1.712e-3
3.500e+2, 1.703e-3
3.510e+2, 1.691e-3
3.520e+2, 1.680e-3
3.530e+2, 1.671e-3
3.540e+2, 1.662e-3
3.550e+2, 1.652e-3
3.560e+2, 1.639e-3
3.570e+2, 1.631e-3
3.580e+2, 1.623e-3
3.590e+2, 1.616e-3
3.600e+2, 1.605e-3
3.610e+2, 1.594e-3
3.620e+2, 1.586e-3
3.630e+2, 1.579e-3
3.640e+2, 1.569e-3
3.650e+2, 1.558e-3
3.660e+2, 1.552e-3
3.670e+2, 1.544e-3
3.680e+2, 1.536e-3
3.690e+2, 1.525e-3
3.700e+2, 1.519e-3
3.710e+2, 1.513e-3
3.720e+2, 1.506e-3
3.730e+2, 1.495e-3
3.740e+2, 1.487e-3
3.750e+2, 1.480e-3
3.760e+2, 1.475e-3
3.770e+2, 1.465e-3
3.780e+2, 1.455e-3
3.790e+2, 1.449e-3
3.800e+2, 1.443e-3
3.810e+2, 1.437e-3
3.820e+2, 1.427e-3
3.830e+2, 1.421e-3
3.840e+2, 1.415e-3
3.850e+2, 1.409e-3
3.860e+2, 1.400e-3
3.870e+2, 1.393e-3
3.880e+2, 1.388e-3
3.890e+2, 1.382e-3
3.900e+2, 1.375e-3
3.910e+2, 1.367e-3
3.920e+2, 1.362e-3
3.930e+2, 1.356e-3
3.940e+2, 1.351e-3
3.950e+2, 1.342e-3
3.960e+2, 1.336e-3
3.970e+2, 1.332e-3
3.980e+2, 1.325e-3
3.990e+2, 1.318e-3
4.000e+2, 1.311e-3
4.010e+2, 1.307e-3
4.020e+2, 1.302e-3
4.030e+2, 1.296e-3
4.040e+2, 1.287e-3
4.050e+2, 1.283e-3
4.060e+2, 1.279e-3
